ResourceID,_label,type,Name_content,Name_type,created_label,created_carried_out_by,created_type,created_time_label,created_time_begin_of_begin,created_statement_label,created_statement_content,created_statement_type,created_statement_language,curation_carried_out_by,curation_label,curation_statement_label,curation_statement_content,curation_statement_type,curation_statement_language,activity_used_in
673af81e-068e-4577-a786-d5aee964db5f,Collection of Byzantine Manuscripts,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Byzantine Manuscripts,8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Byzantine Manuscripts,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",,Date of Creation of Collection for Technical Examination of Byzantine Manuscripts,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Byzantine Manuscripts,This collection was created to support the technical examination of Byzantine Manuscripts.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",Curation of Collection for Technical Examination of Byzantine Manuscripts,Statement on curation for the Collection for Technical Examination of Byzantine Manuscripts,This collection is curated to serve the technical examination of Byzantine Manuscripts.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,1c8748b7-df17-4160-b033-8293e32a6b9d
b48225cb-7273-4d1c-bb96-a711da6d2bb0,Collection of Objects with Gold Material,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Objects with Gold Material,8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Objects with Gold Material,e94b785b-19e3-42b7-8eb2-6e86099bfd55,,Date of Creation of Collection for Technical Examination of Objects with Gold Material,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Objects with Gold Material,This collection was created to support the technical examination of Objects with Gold Material.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,e94b785b-19e3-42b7-8eb2-6e86099bfd55,Curation of Collection for Technical Examination of Objects with Gold Material,Statement on curation for the Collection for Technical Examination of Objects with Gold Material,This collection is curated to serve the technical examination of Objects with Gold Material.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,6810bbe6-c348-46c8-8734-48b56222c21d
dafb327a-b250-4b9c-9904-6629fbf9e896,Collection of Sculptures,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Sculptures,8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Sculptures,e94b785b-19e3-42b7-8eb2-6e86099bfd55,,Date of Creation of Collection for Technical Examination of Sculptures,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Sculptures,This collection was created to support the technical examination of Sculptures.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,e94b785b-19e3-42b7-8eb2-6e86099bfd55,Curation of Collection for Technical Examination of Sculptures,Statement on curation for the Collection for Technical Examination of Sculptures,This collection is curated to serve the technical examination of Sculptures.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,9007e08d-d99f-4044-b06b-de9aae553f8d
8fffd9e9-b83f-4cae-9b00-615bd50f94a3,Collection of Roman Objects,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Roman Objects,8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Roman Objects,e94b785b-19e3-42b7-8eb2-6e86099bfd55,,Date of Creation of Collection for Technical Examination of Roman Objects,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Roman Objects,This collection was created to support the technical examination of Roman Objects.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,e94b785b-19e3-42b7-8eb2-6e86099bfd55,Curation of Collection for Technical Examination of Roman Objects,Statement on curation for the Collection for Technical Examination of Roman Objects,This collection is curated to serve the technical examination of Roman Objects.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,f56c7f32-25b2-4b21-bb74-ad3ece66d55e
245f17b0-c7de-4ad6-8474-27b5ddbb7350,Collection for Technical Examination of Byzantine Manuscript: Leaf from a Gospel Book or New Testament,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Leaf from a Gospel Book or New Testament (Collection),8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Leaf from a Gospel Book or New Testament ,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",,Date of Creation of Collection for Technical Examination of Leaf from a Gospel Book or New Testament ,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Leaf from a Gospel Book or New Testament ,This collection was created to support the technical examination of Leaf from a Gospel Book or New Testament.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",Curation of Collection for Technical Examination of Leaf from a Gospel Book or New Testament ,Statement on curation for the Collection for Technical Examination of Leaf from a Gospel Book or New Testament ,This collection is curated to serve the technical examination of Leaf from a Gospel Book or New Testament.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
0a761475-f59d-4b5d-86a4-f61bb8d1e5ea,Collection for Technical Examination of Byzantine Manuscript: Gospel Book (Ludwig Manuscript II-5),0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Gospel Book (Ludwig Manuscript II-5) (Collection),8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Gospel Book (Ludwig Manuscript II-5) ,1d1543c6-1367-4b10-be04-2d24edb3f1ab,,Date of Creation of Collection for Technical Examination of Gospel Book (Ludwig Manuscript II-5) ,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Gospel Book (Ludwig Manuscript II-5) ,This collection was created to support the technical examination of Gospel Book (Ludwig Manuscript II-5).,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,1d1543c6-1367-4b10-be04-2d24edb3f1ab,Curation of Collection for Technical Examination of Gospel Book (Ludwig Manuscript II-5) ,Statement on curation for the Collection for Technical Examination of Gospel Book (Ludwig Manuscript II-5) ,This collection is curated to serve the technical examination of Gospel Book (Ludwig Manuscript II-5).,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,2836170f-1627-42e3-bf38-80d19650b1a1
e910b636-61fd-4a5a-9c70-8db9f81f6e14,Collection for Technical Examination of Byzantine Manuscript: New Testament,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,New Testament (Collection),8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of New Testament ,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",,Date of Creation of Collection for Technical Examination of New Testament ,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of New Testament ,This collection was created to support the technical examination of New Testament.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",Curation of Collection for Technical Examination of New Testament ,Statement on curation for the Collection for Technical Examination of New Testament ,This collection is curated to serve the technical examination of New Testament.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,8a8d05b7-41f9-474d-833f-102ef26cd0ac
5187baa4-614d-4ee7-9fc3-b5a6f989bddb,Collection for Technical Examination of Byzantine Manuscript: Two Miniatures from a Book of Old Testament Prophets,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Two Miniatures from a Book of Old Testament Prophets (Collection),8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Two Miniatures from a Book of Old Testament Prophets,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",,Date of Creation of Collection for Technical Examination of Two Miniatures from a Book of Old Testament Prophets,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Two Miniatures from a Book of Old Testament Prophets,This collection was created to support the technical examination of Two Miniatures from a Book of Old Testament Prophets.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341",Curation of Collection for Technical Examination of Two Miniatures from a Book of Old Testament Prophets,Statement on curation for the Collection for Technical Examination of Two Miniatures from a Book of Old Testament Prophets,This collection is curated to serve the technical examination of Two Miniatures from a Book of Old Testament Prophets.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,236fd880-a56c-4c7e-ad7f-b30a5cba0a91
6d511c8e-35b6-4dae-8067-eb9178ad3af2,Collection for Technical Examination of Byzantine Manuscript: Canon Tables from the Zeyt'un Gospels,0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,Canon Tables from the Zeyt'un Gospels (Collection),8f40c740-3c02-4839-b1a4-f1460823a9fe,Creation of Collection for Technical Examination of Canon Tables from the Zeyt'un Gospels ,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341,acd82789-d369-4f3c-b052-d1d618ddf789",,Date of Creation of Collection for Technical Examination of Canon Tables from the Zeyt'un Gospels ,2020-05-20,Statement on purpose of creation for the Collection for Technical Examination of Canon Tables from the Zeyt'un Gospels ,This collection was created to support the technical examination of Canon Tables from the Zeyt'un Gospels. ,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341,acd82789-d369-4f3c-b052-d1d618ddf789",Curation of Collection for Technical Examination of Canon Tables from the Zeyt'un Gospels ,Statement on curation for the Collection for Technical Examination of Canon Tables from the Zeyt'un Gospels ,This collection is curated to serve the technical examination of Canon Tables from the Zeyt'un Gospels.,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,0c634fde-3990-4b79-8a1c-a7d13b71a312
a6336ffd-e763-45df-959b-4bc2742c627d,"Collection for Technical Examination of Byzantine Manuscript: New Testament (Theoktistos, Scribe)",0776c7d8-aed8-4ffb-a8f4-eb2f3e90e0fe,"New Testament (Theoktistos, Scribe) (Collection)",8f40c740-3c02-4839-b1a4-f1460823a9fe,"Creation of Collection for Technical Examination of New Testament (Theoktistos, Scribe) ","4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341,7a492de1-6a6a-4746-9d1e-951e3a7a3b96,002cd0c4-b1b4-457a-a45e-eaaa9a1d6e76,649615ed-4f19-4e91-bfbd-347057a47369,acd82789-d369-4f3c-b052-d1d618ddf789",,"Date of Creation of Collection for Technical Examination of New Testament (Theoktistos, Scribe) ",2020-05-20,"Statement on purpose of creation for the Collection for Technical Examination of New Testament (Theoktistos, Scribe) ","This collection was created to support the technical examination of New Testament (Theoktistos, Scribe).",df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,"4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,5c5d91c0-f51e-47c7-8f43-632d05a30341,7a492de1-6a6a-4746-9d1e-951e3a7a3b96,002cd0c4-b1b4-457a-a45e-eaaa9a1d6e76,649615ed-4f19-4e91-bfbd-347057a47369,acd82789-d369-4f3c-b052-d1d618ddf789","Curation of Collection for Technical Examination of New Testament (Theoktistos, Scribe) ","Statement on curation for the Collection for Technical Examination of New Testament (Theoktistos, Scribe) ","This collection is curated to serve the technical examination of New Testament (Theoktistos, Scribe).",df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,0f80ae6d-c5df-4671-bf59-4792f9d47149
