ResourceID,_label,Type,Type_label,Type_URL,format,Conforms To,Identifier_content,Identifier_type,Shows_image
25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,IIIF Presentation API,,,,,,http://iiif.io/api/presentation,f32d0944-4229-4792-a33c-aadc2b181dc7,
ff170fd9-e502-49b7-a25e-5221b051bac7,Digital Image of Chiarito Tabernacle,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/ff170fd9-e502-49b7-a25e-5221b051bac7/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,0344b2b3-fbc6-43bc-baf8-3cccd0c9a025
4144595f-1571-4a5a-9bbf-331e4f28bbbb,IIIF Manifest of Chiarito Tabernacle,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/4144595f-1571-4a5a-9bbf-331e4f28bbbb.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
b3d1e463-db5c-46fb-85cd-eae23d25910e,Digital Image of Historia general del Piru,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/b3d1e463-db5c-46fb-85cd-eae23d25910e/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,76bfa33f-7d8a-4120-943f-b5506ebd4d24
ff12595d-28ba-4b7d-93bb-7f6c42e110db,IIIF Manifest of Historia general del Piru,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/ff12595d-28ba-4b7d-93bb-7f6c42e110db.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
3653e30a-b155-4dba-a180-db5d6674ca12,Digital Image of Christ's Entry into Brussels in 1889,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/3653e30a-b155-4dba-a180-db5d6674ca12/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,b5fd5f5c-85c9-4791-b658-0240928aa8ab
8d94abb2-5905-428c-b634-b5c4ec4b680b,IIIF Manifest of Christ's Entry into Brussels in 1889,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/8d94abb2-5905-428c-b634-b5c4ec4b680b.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
fef1253d-d87b-40a2-bc2b-eef9968d777e,"""Digital Image of Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series""",d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/fef1253d-d87b-40a2-bc2b-eef9968d777e/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,8afd2c91-e358-41af-9be4-e2bffee81cde
7989756b-b6df-4e84-83ed-7e02661e7b13,"""IIIF Manifest of Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series""",,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/7989756b-b6df-4e84-83ed-7e02661e7b13.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
15d74d73-7460-4153-9e42-1142d657aec2,Digital Image of Engraved Gem,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/15d74d73-7460-4153-9e42-1142d657aec2/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,94d88838-2213-4922-82c9-750a92de60d3
d17357c3-1bcd-4ce9-8a8c-0967284de5ee,IIIF Manifest of Engraved Gem,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/d17357c3-1bcd-4ce9-8a8c-0967284de5ee.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
9f7bb9bb-8b59-4b4a-8514-2d5f5f63d743,Digital Image of Mummy with Cartonnage and Portrait,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/9f7bb9bb-8b59-4b4a-8514-2d5f5f63d743/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,cce797d0-c502-44b8-b8e7-87639345c445
760b21c5-3c83-454a-a4bd-9ca7a7c9d700,IIIF Manifest of Mummy with Cartonnage and Portrait,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/760b21c5-3c83-454a-a4bd-9ca7a7c9d700.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
f6225e42-ae51-4190-87e0-12d06396f8bd,Digital Image of Statue of Leda and the Swan,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/f6225e42-ae51-4190-87e0-12d06396f8bd/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,d437e1bc-2163-492c-afb0-4fcb32f87e76
78fc6593-9b19-436c-92ef-44a1e96d890b,IIIF Manifest of Statue of Leda and the Swan,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/78fc6593-9b19-436c-92ef-44a1e96d890b.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
a0760f2d-317f-4f44-9d23-864a33cf3432,Digital Image of âFantasiesâ: Moorish Arch and Courtyard of a Gothic Castle,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/a0760f2d-317f-4f44-9d23-864a33cf3432/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,26420437-dbcb-4376-81fe-a6cdd588b63a
30e4a07e-f69c-4ab7-8244-c3da0bcf5fd6,IIIF Manifest of âFantasiesâ: Moorish Arch and Courtyard of a Gothic Castle,,,,"application/ld+json;profile='http://iiif.io/api/presentation/2/context.json'",25f8d596-c5d9-4a5b-bc9b-21c1c66bf063,https://media.getty.edu/iiif/manifest/30e4a07e-f69c-4ab7-8244-c3da0bcf5fd6.json,f32d0944-4229-4792-a33c-aadc2b181dc7,
61ee3b7c-a863-4234-9320-bc43c757e95c,Digital Image of Leaf from the Laudario of Sant'Agnese,d472136d-a3da-4d6e-b386-ee13aff400d3,Digital Image,http://vocab.getty.edu/aat/300215302,image/jpeg,,https://media.getty.edu/iiif/image/61ee3b7c-a863-4234-9320-bc43c757e95c/full/full/0/default.jpg,f32d0944-4229-4792-a33c-aadc2b181dc7,89b9c4b6-47cf-49d0-afea-236f5f0b128c
