ResourceID,_label,Name_label,Name_content,Name_type,Name_language,described_by_digital_object,used_digital_resource,observed,technique,recorded_value,carried_out_by,used_process,used_instrument,type,Identifier_label,Identifier_content,Identifier_type,TimeSpan_label,TimeSpan_begin_of_begin,TimeSpan_end_of_end,TimeSpan_type,Statement_label,Statement_content,Statement_type,Statement_language,part_of
0baddb08-01dd-448a-b27c-030b01068806,XRF Measurement of Leaf from a Gospel Book or New Testament,Primary name,XRF Measurement of Leaf from a Gospel Book or New Testament,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,6b3f7c23-2a9d-4a94-b5fc-823c65616ee8,,5768193e-7eaf-4e89-9112-7ad900b9bc0b,,,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3526790a-c73d-4558-b29d-98f574c91e61,,,,,,,,,Description,XRF measurements for all areas Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
f608eb8e-caa7-47de-a269-5df675153148,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,Primary name,XRF Measurement of Leaf from a Gospel Book or New Testament Area 1,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,64a4a2a4-7ef3-43cc-8abc-686275fb4a94,,977840d9-2617-434a-b391-23218d99e03f,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3526790a-c73d-4558-b29d-98f574c91e61,,,,,,,,,Description,XRF measurements for Area 1 (white of the bible) of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
f608eb8e-caa7-47de-a269-5df675153148,,,,,,,,,,,,,,,,,,,,,,Interpretation,lead white,,bc35776b-996f-4fc1-bd25-9f6432c1f349,
c1a2f452-b32d-4e50-8e58-3d3a64848a7e,Raman Measurement of Leaf from a Gospel Book or New Testament,Primary name,Raman Measurement of Leaf from a Gospel Book or New Testament,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,773d7c3c-cecd-4ff2-97c2-27531c760d47,,5768193e-7eaf-4e89-9112-7ad900b9bc0b,,,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,73717b33-1235-44a1-8acb-63c97a5c1157,,,,,,,,,Description,Raman measurements for all areas Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
4da1684a-320a-4131-b09a-1b96f7ad70a2,Raman Measurement of Leaf from a Gospel Book or New Testament Area 1,Primary name,Raman Measurement of Leaf from a Gospel Book or New Testament Area 1,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,64a4a2a4-7ef3-43cc-8abc-686275fb4a94,,945dfb90-59eb-454a-bbba-c5c4f03c50dd,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,73717b33-1235-44a1-8acb-63c97a5c1157,,,,,,,,,Description,Raman measurements for Area 1 of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
a8ce47aa-a346-48f9-b62f-96c0dc314f64,FORS Measurement of Leaf from a Gospel Book or New Testament,Primary name,FORS Measurement of Leaf from a Gospel Book or New Testament,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,7bbd4fb7-0338-4a27-9ea5-021a35777301,,5768193e-7eaf-4e89-9112-7ad900b9bc0b,,,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3365c1bf-070d-4a8e-b859-52dec6876c1d,,,,,,,,,Description,FORS measurements for all areas Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
c118a458-2542-4cd2-9c03-a3f3b625c15e,FORS Measurement of Leaf from a Gospel Book or New Testament Area 3,Primary name,FORS Measurement of Leaf from a Gospel Book or New Testament Area 3,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,6f4f03f5-a10d-49da-8259-7f4a9f065a9b,,affe4fc9-ad20-4faf-8c74-f29b1813d2af,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3365c1bf-070d-4a8e-b859-52dec6876c1d,,,,,,,,,Description,FORS measurements for Area 3 of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
f9420c5c-3a60-422f-a5c3-aa072fef9599,XRF Measurement of Leaf from a Gospel Book or New Testament Area 2,Primary name,XRF Measurement of Leaf from a Gospel Book or New Testament Area 2,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,a5cf9ad5-c6f6-4a51-b457-7997d1c1d422,,a5a0f51e-c4cc-43ae-9df0-247f715f29a0,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3526790a-c73d-4558-b29d-98f574c91e61,,,,,,,,,Description,XRF measurements for Area 2 of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
ee1b7a18-0371-4aa2-976f-ef278f0a4b3f,XRF Measurement of Leaf from a Gospel Book or New Testament Area 3,Primary name,XRF Measurement of Leaf from a Gospel Book or New Testament Area 3,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,6f4f03f5-a10d-49da-8259-7f4a9f065a9b,,66ac507b-718e-42be-a65d-e7b9666894bf,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3526790a-c73d-4558-b29d-98f574c91e61,,,,,,,,,Description,XRF measurements for Area 3 of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
7c934f9b-f130-4352-8be5-17b9b4ca9273,XRF Measurement of Leaf from a Gospel Book or New Testament Area 4,Primary name,XRF Measurement of Leaf from a Gospel Book or New Testament Area 4,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,,,bb04cc96-42fe-42d5-9b63-cd5a1c26eb6e,,60004331-3297-4eb4-a8bc-873518f74b36,4d1c5b38-2e05-486e-ab17-61cfcf9e93b1,,3526790a-c73d-4558-b29d-98f574c91e61,,,,,,,,,Description,XRF measurements for Area 4 of Leaf from a Gospel Book or New Testament,df8e4cf6-9b0b-472f-8986-83d5b2ca28a0,bc35776b-996f-4fc1-bd25-9f6432c1f349,a22d754a-51fb-4759-b62a-9ecef6416e64
