Resource ID,_label,Name_label,Name_content,Name_type,Statement_content,Statement_type,member_of,type_of_activity
d9c7f5eb-2cc0-46d1-944a-6d8c04f57158,Pacino di Bonaguida,Name of Person,Pacino di Bonaguida,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
d540519b-9937-4423-803e-00d096075859,James Ensor,Name of Person,James Ensor,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
24b4a24a-9856-4d22-b739-d868389376e2,Unknown,Name of Person,Unknown,8f40c740-3c02-4839-b1a4-f1460823a9fe,,,,
662fa6cb-476b-4df5-bbc7-32f1a6a57256,Louis-Jacques-Mandé Daguerre,Name of Person,Louis-Jacques-Mandé Daguerre,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
1d3377c6-86aa-46bf-b9ca-ac29afa860fa,David Hockney,Name of Person,David Hockney,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
97210f02-7288-4b2b-b0cd-2e9e733c6753,Master of the Dominican Effigies,Name of Person,Master of the Dominican Effigies,8f40c740-3c02-4839-b1a4-f1460823a9fe,,,,
a8f6d3f1-21ae-4f2b-bdcc-8a68da4a478b,Franz Xaver Messerschmidt,Name of Person,Franz Xaver Messerschmidt,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
81024e46-a4ee-41d7-bffc-e96cbd325273,Georges Seurat,Name of Person,Georges Seurat,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
bc90ab77-3714-48d7-b84b-a1b7db56cc7d,Édouard Manet,Name of Person,Édouard Manet,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
373e359f-8c3c-454e-b230-6a1bfebff0a4,Odilon Redon,Name of Person,Odilon Redon,828a2e14-8976-4d99-96d0-aeb1bd4223cc,,,,
38e175b9-28e2-4787-a0a5-c0dd374d0a5c,Tom Learner,Name of Person,Tom Learner,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Head,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
796105fc-df16-4b07-ab5d-d43ab3f502a3,Vincent Beltran,Name of Person,Vincent Beltran,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Assistant Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
556e79ad-7f36-4209-8f44-61b727eb8be0,Beril Biçer-Simşir,Name of Person,Beril Biçer-Simşir,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Associate Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
7a31507b-9475-4933-9b90-7dfbeb6096c1,David Carson,Name of Person,David Carson,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Laboratory Manager,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
7178b18c-5926-4fae-a148-8e320fcf5ed2,Carolyn Carta,Name of Person,Carolyn Carta,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Research Lab Associate,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
c188e6b8-fe9e-42a6-b4c0-98d5079dcce2,Michael Doutre,Name of Person,Michael Doutre,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Research Lab Associate,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
ceb8448e-a740-4c9d-9bac-01174e1dae2d,Naoki Fujisawa,Name of Person,Naoki Fujisawa,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
a45683ae-1690-4e20-8e80-fbca9e6b9115,Monica Ganio,Name of Person,Monica Ganio,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Assistant Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
4f4ed591-0093-4dab-b180-21e313faa36d,Davide Gulotta,Name of Person,Davide Gulotta,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Associate Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
ad9d7243-16a5-4c3e-bae4-9e40e64a4c63,Art Kaplan,Name of Person,Art Kaplan,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Assistant Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
e53b17af-2d95-44c5-8182-a26ce1025b94,Herant Khanjian,Name of Person,Herant Khanjian,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Assistant Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
99214459-e1e9-4155-9619-348a170c745e,Anna Laganà,Name of Person,Anna Laganà,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Research Specialist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
a7dd8f67-e320-4193-9f3e-f9a5bc285101,Lynn Lee,Name of Person,Lynn Lee,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Assistant Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
6e741c8c-58ab-4ff5-a3f3-e4b09636b312,Alick Leslie,Name of Person,Alick Leslie,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Senior Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
70c24c47-c936-4547-abeb-fdfd19b142bc,Catherine Lukaszewski ,Name of Person,Catherine Lukaszewski ,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Laboratory Coordinator,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
3ed4e3cc-a549-421c-9838-8cb671731336,Michal Łukomski,Name of Person,Michal Łukomski,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Senior Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
acd82789-d369-4f3c-b052-d1d618ddf789,Douglas MacLennan,Name of Person,Douglas MacLennan,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Research Lab Associate,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
e6009dd9-4241-4760-af5c-8cb2c53a6e76,Odile Madden,Name of Person,Odile Madden,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Senior Scientist,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
60e24dab-e22a-4733-b922-75c6e7718c8c,Gary Mattison,Name of Person,Gary Mattison,828a2e14-8976-4d99-96d0-aeb1bd4223cc,Senior Project Coordinator,8f86681e-cbdd-4cc5-9569-28b2171aebd7,ba605d77-9bb3-4b5d-8fd3-06a1d44ef916,d3e0423d-daaa-485d-a694-f5383ad705b0
