ResourceID,_label,Name_label,Name_content,Name_type,Name_language,represents,part_of
fa34387b-c604-4640-ae8e-4ce74deb34bd,Image of Chiarito Tabernacle,Primary Name,Image of Chiarito Tabernacle,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,1a3dff5e-f8cd-417c-9730-4af3cc1a42f4,
76bfa33f-7d8a-4120-943f-b5506ebd4d24,Image of Historia general del Piru,Primary Name,Image of Historia general del Piru,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,84390627-1631-42d3-8bee-75fc7ec7fb10,
b5fd5f5c-85c9-4791-b658-0240928aa8ab,Image of Christ's Entry into Brussels in 1889,Primary Name,Image of Christ's Entry into Brussels in 1889,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,008a2414-cbba-4455-951d-f8599b9d5ce9,
8afd2c91-e358-41af-9be4-e2bffee81cde,"Image of Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series",Primary Name,"Image of Tapestry: Les Astronomes, from L'Histoire de l'empereur de la Chine Series",8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,e0d017ab-0014-44ce-9def-9794fec3b0f7,
94d88838-2213-4922-82c9-750a92de60d3,Image of Engraved Gem,Primary Name,Image of Engraved Gem,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,bc4100f2-d5cd-4725-a8ca-187f01defaa1,
cce797d0-c502-44b8-b8e7-87639345c445,Image of Mummy with Cartonnage and Portrait,Primary Name,Image of Mummy with Cartonnage and Portrait,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,963b259c-f509-4c1a-a13a-25ef1551bd93,
d437e1bc-2163-492c-afb0-4fcb32f87e76,Image of Statue of Leda and the Swan,Primary Name,Image of Statue of Leda and the Swan,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,344ecade-7feb-4aed-96fe-5bb4dd60a01f,
26420437-dbcb-4376-81fe-a6cdd588b63a,"Image of 'Fantasies': Moorish Arch and Courtyard of a Gothic Castle",Primary Name,"Image of 'Fantasies': Moorish Arch and Courtyard of a Gothic Castle",8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,5fb9ff55-a1d7-4423-9541-2a0bd8a70bee,
89b9c4b6-47cf-49d0-afea-236f5f0b128c,Image of Leaf from the Laudario of Sant'Agnese,Primary Name,Image of Leaf from the Laudario of Sant'Agnese,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,4757b0a3-97df-4f74-8d14-2dc9338eec43,
ba81c995-c0fe-414e-92c4-a42a54acade1,Image of Christ in Majesty,Primary Name,Image of Christ in Majesty,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,b26209e5-7ed3-44db-b59b-dc967466edc6,
634b1f99-7107-40a6-be51-bcf0b7b51d24,Image of The Vexed Man,Primary Name,Image of The Vexed Man,8f40c740-3c02-4839-b1a4-f1460823a9fe,bc35776b-996f-4fc1-bd25-9f6432c1f349,7408ddd3-0776-4afd-9452-0069e8f5e475,
